--- special ---
Comparing specialoff_format with econo_format
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
Frame Break
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
Frame Break
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
Frame Break
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       1
1                                       1
0                                       0

Comparing specialoff_format with econo_quiet_format
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
Frame Break
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
Frame Break
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
1                                       1
0                                       0
1                                       1
1                                       1
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
Frame Break
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
1                                       1
1                                       1
Frame Break
0                                       0
0                                       0
0                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
1                                       1
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       0
0                                       1
0                                       0
1                                       1
0                                       1
1                                       1
0                                       0

